ordem;external_id;titulo;bairro_localizacao;preco;descricao;url_origem;fotos_total;foto_capa
41;ac6a958003e6477ff21bb384482763ba428132fb;"Solaris Camaçari, 2 quartos que cabe no seu bolso";Industrial;"R$ 218.000,00";Localização e estrutura de lazer que facilitam sua vida | Minha Casa Minha Vida;https://www.imobssa.com.br/imovel/4131272/solaris-camacari-tenda;20;uploads/imobssa/ac6a958003e6477ff21bb384482763ba428132fb/02.png
42;1e5dd4ebb3159f116da483b2db740b9195d6a30e;"Terraço Cabula, 3 quartos com suíte e lazer completo";Cabula;"R$ 530.000,00";Localização privilegiada em um projeto com tudo que você precisa para morar bem | Pronto para morar | Últimas unidades;https://www.imobssa.com.br/imovel/4161259/terraco-cabula;14;uploads/imobssa/1e5dd4ebb3159f116da483b2db740b9195d6a30e/02.png
43;ad03c9462d64189bfdf68c9c15d355c694d474c3;"Top Club Residencial, 2 quartos (suíte) pronto para morar";Vila Canária;"R$ 330.400,00";"Condomínio com lazer completo na Vila Canária, próximo a nova rodoviária de Salvador";https://www.imobssa.com.br/imovel/4156162/top-club-residencial-vila-canaria;16;uploads/imobssa/ad03c9462d64189bfdf68c9c15d355c694d474c3/02.png
44;46dc53d456aa14ecf76ebcad0c69fc4af717347a;"Vale das Tulipas, 2 quartos com lazer completo em Sussuarana";Sussuarana;"R$ 240.000,00";Estrutura de lazer completa e com fácil acesso a tudo que sua família precisa | Minha Casa Minha Vida;https://www.imobssa.com.br/imovel/4144094/vale-tulipas-sussuarana-tenda;24;uploads/imobssa/46dc53d456aa14ecf76ebcad0c69fc4af717347a/02.png
45;ee23214a2514ca243a8172f10c0d19ec812f911a;"Vale dos Lírios, 2 quartos com lazer completo em Sussuarana";Sussuarana;"R$ 243.000,00";Conquiste seu imóvel em uma região cercada de facilidades | Minha Casa Minha Vida;https://www.imobssa.com.br/imovel/4149758/vale-lirios-sussuarana;27;uploads/imobssa/ee23214a2514ca243a8172f10c0d19ec812f911a/02.png
46;53d770d6ad2662e9eafb2b9f6c3aae8b4062e49a;Ventura Patamares: 2 e 3 quartos com lazer completo;Patamares;"R$ 404.000,00";"Estrutura, lazer, conforto e comodidade com uma localização incrível Av. Orlando Gomes";https://www.imobssa.com.br/imovel/4132444/ventura-patamares-stanza;22;uploads/imobssa/53d770d6ad2662e9eafb2b9f6c3aae8b4062e49a/02.png
47;15a9bf9f9a5295d41b7a26f6d40e2968f28b4dab;"Vila Laura Prime, 2 quartos com lazer compleot";Matatu;"R$ 262.990,00";"Saia do aluguel e more na Vila Laura, com fácil acesso a tudo que você precisa | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4168233/vila-laura-prime-tenda;25;uploads/imobssa/15a9bf9f9a5295d41b7a26f6d40e2968f28b4dab/02.png
48;5719c5757d2dcbac809ebd06f895b2e7d89c3fa6;"Villaggio Jardins, O primeiro Home Resort da Prima";Cidade Jardim;"R$ 1.255.060,00";"3 e 4 suítes, no coração da Cidade Jardins, para quem busca uma nova forma de morar com muito mais qualidade";https://www.imobssa.com.br/imovel/4182687/villaggio-jardins-prima;38;uploads/imobssa/5719c5757d2dcbac809ebd06f895b2e7d89c3fa6/02.png
49;6a8b046a481a6a760c856b8254153f5469a26ebb;"Viv Rio Vermelho, 3 quartos com suíte e varanda";Rio Vermelho;"R$ 538.000,00";"Viva o bairro mais pulsante de Salvador com lazer diferenciado, arquitetura contemporânea e uma localização que torna sua vida mais completa.";https://www.imobssa.com.br/imovel/4145080/viv-rio-vermelho;35;uploads/imobssa/6a8b046a481a6a760c856b8254153f5469a26ebb/02.png
50;8d73feb7fac071ed0e1af34d08167efcfb6d8478;Viva seus melhore momentos no Makai na Praia do Forte;Praia do Forte;"R$ 565.000,00";"Casas de 2, 3 ou 4 suítes, de alto padrão, ao lado da Lagoa Árua";https://www.imobssa.com.br/imovel/4134168/makai-casas-praia-do-forte;16;uploads/imobssa/8d73feb7fac071ed0e1af34d08167efcfb6d8478/02.png
51;36c409de28311377c570062076eb608e3c289fa7;"Vivai São Rafael, 2 quartos ou 2 suítes e lazer completo";São Marcos;"R$ 321.807,00";"O Vivai São Rafael foi planejado para quem quer morar bem localizado, com lazer completo e plantas inteligentes que cabem no orçamento";https://www.imobssa.com.br/imovel/4159063/vivai-sao-rafael;23;uploads/imobssa/36c409de28311377c570062076eb608e3c289fa7/02.png
52;c5d6328636d241ead2bb2d0265619eec41608db2;"Vivenda Real, 2 quartos com lazer completo";Porto Seco Pirajá;"R$ 240.000,00";"Porto Seco Pirajá, pertinho da nova rodoviária e de tudo para sua família viver melhor | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4149706/vivenda-real-porto-seco-piraja;22;uploads/imobssa/c5d6328636d241ead2bb2d0265619eec41608db2/02.png
53;e2ff068ae019bb8595b13528abb52b427ba1fc62;"Vivere Blu, 2 suítes com lazer completo no Costa Azul";Costa Azul / Jardim de Alah;"R$ 701.400,00";"Viva o Costa Azul do seu jeito, com uma paisagem que inspirar e transforma o seu dia";https://www.imobssa.com.br/imovel/4195479/vivere-blu-costa-azul;21;uploads/imobssa/e2ff068ae019bb8595b13528abb52b427ba1fc62/02.png
54;b45324c235056921be2f089559ccc28c6b120908;"Vivver Exclusive, 2 quartos com suíte em Sussuarana";Novo Horizonte;"R$ 260.453,00";"Venha morar com conforto, lazer e facilidades em uma região em constante crescimento";https://www.imobssa.com.br/imovel/4133756/vivver-exclusive-sussuarana;18;uploads/imobssa/b45324c235056921be2f089559ccc28c6b120908/02.png
55;445d5bcb0f74587ca229904fbf9141ee9825aaa8;"Vog Itapuã, 2 suítes com varanda e lazer completo";Itapuã;"R$ 405.719,00";"Conforto, espaço e praticidade na Av. Dorival Caymmi. Viva a vida em Itapúã";https://www.imobssa.com.br/imovel/4161790/vog-itapua;20;uploads/imobssa/445d5bcb0f74587ca229904fbf9141ee9825aaa8/02.png
56;c4edc55f5e9870b99ee25313d65153e584b61fa2;"Yu Corsário Smart Hub, studios em frente ao mar";Pituaçu;"R$ 361.268,00";"Um projeto que une design contemporâneo, funcionalidade e uma estrutura completa de serviços na nova orla da Praia do Corsário";https://www.imobssa.com.br/imovel/4145218/yu-corsario-smart-hub;19;uploads/imobssa/c4edc55f5e9870b99ee25313d65153e584b61fa2/02.png
